To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
FPGA_CLK,Input,PIN_23,1,B1_N0,PIN_23,2.5 V,,,,,
FPGA_RST,Unknown,PIN_25,2,B2_N0,,,,,,,
UART_TXD,Unknown,PIN_114,7,B7_N0,,,,,,,
UART_RXD,Unknown,PIN_115,7,B7_N0,,,,,,,
KEY[0],Input,PIN_88,5,B5_N0,PIN_88,2.5 V,,,,,
KEY[1],Input,PIN_89,5,B5_N0,PIN_89,2.5 V,,,,,
KEY[2],Input,PIN_90,6,B6_N0,PIN_90,2.5 V,,,,,
KEY[3],Input,PIN_91,6,B6_N0,PIN_91,2.5 V,,,,,
FPGA_BUZZER,Output,PIN_110,7,B7_N0,PIN_110,2.5 V,,,,,
LED[0],Output,PIN_87,5,B5_N0,PIN_87,2.5 V,,,,,
LED[1],Output,PIN_86,5,B5_N0,PIN_86,2.5 V,,,,,
LED[2],Output,PIN_85,5,B5_N0,PIN_85,2.5 V,,,,,
LED[3],Output,PIN_84,5,B5_N0,PIN_84,2.5 V,,,,,
FPGA_SCL,Unknown,PIN_112,7,B7_N0,,,,,,,
FPGA_SDA,Unknown,PIN_113,7,B7_N0,,,,,,,
I2C_SCL,Unknown,PIN_99,6,B6_N0,,,,,,,
I2C_SDA,Unknown,PIN_98,6,B6_N0,,,,,,,
IR,Unknown,PIN_100,6,B6_N0,,,,,,,
VGA_HSYNC,Unknown,PIN_101,6,B6_N0,,,,,,,
VGA_VSYNC,Unknown,PIN_103,6,B6_N0,,,,,,,
VGA_B,Unknown,PIN_104,6,B6_N0,,,,,,,
VGA_G,Unknown,PIN_105,6,B6_N0,,,,,,,
VGA_R,Unknown,PIN_106,6,B6_N0,,,,,,,
LCD_RS,Unknown,PIN_141,8,B8_N0,,,,,,,
LCD_RW,Unknown,PIN_138,8,B8_N0,,,,,,,
LCD_E,Unknown,PIN_143,8,B8_N0,,,,,,,
LCD_D[0],Unknown,PIN_142,8,B8_N0,,,,,,,
LCD_D[1],Unknown,PIN_1,1,B1_N0,,,,,,,
LCD_D[2],Unknown,PIN_144,8,B8_N0,,,,,,,
LCD_D[3],Unknown,PIN_3,1,B1_N0,,,,,,,
LCD_D[4],Unknown,PIN_2,1,B1_N0,,,,,,,
LCD_D[5],Unknown,PIN_10,1,B1_N0,,,,,,,
LCD_D[6],Unknown,PIN_7,1,B1_N0,,,,,,,
LCD_D[7],Unknown,PIN_11,1,B1_N0,,,,,,,
DIG[1],Unknown,PIN_133,8,B8_N0,,,,,,,
DIG[2],Unknown,PIN_135,8,B8_N0,,,,,,,
DIG[3],Unknown,PIN_136,8,B8_N0,,,,,,,
DIG[4],Unknown,PIN_137,8,B8_N0,,,,,,,
SEG[0],Unknown,PIN_128,8,B8_N0,,,,,,,
SEG[1],Unknown,PIN_121,7,B7_N0,,,,,,,
SEG[2],Unknown,PIN_125,7,B7_N0,,,,,,,
SEG[3],Unknown,PIN_129,8,B8_N0,,,,,,,
SEG[4],Unknown,PIN_132,8,B8_N0,,,,,,,
SEG[5],Unknown,PIN_126,7,B7_N0,,,,,,,
SEG[6],Unknown,PIN_124,7,B7_N0,,,,,,,
SEG[7],Unknown,PIN_127,7,B7_N0,,,,,,,
PS_CLOCK,Unknown,PIN_119,7,B7_N0,,,,,,,
PS_DATA,Unknown,PIN_120,7,B7_N0,,,,,,,
SDRAM_DQ[0],Unknown,PIN_28,2,B2_N0,,,,,,,
SDRAM_DQ[1],Unknown,PIN_30,2,B2_N0,,,,,,,
SDRAM_DQ[2],Unknown,PIN_31,2,B2_N0,,,,,,,
SDRAM_DQ[3],Unknown,PIN_32,2,B2_N0,,,,,,,
SDRAM_DQ[4],Unknown,PIN_33,2,B2_N0,,,,,,,
SDRAM_DQ[5],Unknown,PIN_34,2,B2_N0,,,,,,,
SDRAM_DQ[6],Unknown,PIN_38,3,B3_N0,,,,,,,
SDRAM_DQ[7],Unknown,PIN_39,3,B3_N0,,,,,,,
SDRAM_DQ[8],Unknown,PIN_54,4,B4_N0,,,,,,,
SDRAM_DQ[9],Unknown,PIN_53,3,B3_N0,,,,,,,
SDRAM_DQ[10],Unknown,PIN_52,3,B3_N0,,,,,,,
SDRAM_DQ[11],Unknown,PIN_51,3,B3_N0,,,,,,,
SDRAM_DQ[12],Unknown,PIN_50,3,B3_N0,,,,,,,
SDRAM_DQ[13],Unknown,PIN_49,3,B3_N0,,,,,,,
SDRAM_DQ[14],Unknown,PIN_46,3,B3_N0,,,,,,,
SDRAM_DQ[15],Unknown,PIN_44,3,B3_N0,,,,,,,
SDRAM_A[0],Unknown,PIN_76,5,B5_N0,,,,,,,
SDRAM_A[1],Unknown,PIN_77,5,B5_N0,,,,,,,
SDRAM_A[2],Unknown,PIN_80,5,B5_N0,,,,,,,
SDRAM_A[3],Unknown,PIN_83,5,B5_N0,,,,,,,
SDRAM_A[4],Unknown,PIN_68,4,B4_N0,,,,,,,
SDRAM_A[5],Unknown,PIN_67,4,B4_N0,,,,,,,
SDRAM_A[6],Unknown,PIN_66,4,B4_N0,,,,,,,
SDRAM_A[7],Unknown,PIN_65,4,B4_N0,,,,,,,
SDRAM_A[8],Unknown,PIN_64,4,B4_N0,,,,,,,
SDRAM_A[9],Unknown,PIN_60,4,B4_N0,,,,,,,
SDRAM_A[10],Unknown,PIN_75,5,B5_N0,,,,,,,
SDRAM_A[11],Unknown,PIN_59,4,B4_N0,,,,,,,
SDRAM_BS[0],Unknown,PIN_73,5,B5_N0,,,,,,,
SDRAM_BS[1],Unknown,PIN_74,5,B5_N0,,,,,,,
SDRAM_DQM[0],Unknown,PIN_42,3,B3_N0,,,,,,,
SDRAM_DQM[1],Unknown,PIN_55,4,B4_N0,,,,,,,
SDRAM_CKE,Unknown,PIN_58,4,B4_N0,,,,,,,
SDRAM_CLK,Unknown,PIN_43,3,B3_N0,,,,,,,
SDRAM_CS,Unknown,PIN_72,4,B4_N0,,,,,,,
SDRAM_RAS,Unknown,PIN_71,4,B4_N0,,,,,,,
SDRAM_CAS,Unknown,PIN_70,4,B4_N0,,,,,,,
SDRAM_WE,Unknown,PIN_69,4,B4_N0,,,,,,,